episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.17166199999701348,True,False
2,410.0,702,1087,0.1,0.024585707891012797,0.781552541997371,True,False
3,1000.0,744,1831,0.1,0.026604584878265496,3.4962068749991886,True,False
4,280.0,362,2193,0.1,0.036141376955189056,4.839890916999138,True,False
5,700.0,597,2790,0.1,0.0329316840358641,7.03407999999763,True,False
6,1200.0,656,3446,0.1,0.03296406286138269,9.45585270799711,True,False
7,410.0,438,3884,0.1,0.0321098917814776,11.3420908329972,True,False
8,210.0,395,4279,0.1,0.03495861827490889,12.774219457998697,True,False
9,480.0,537,4816,0.1,0.03514316713920346,15.052697625000292,True,False
10,950.0,746,5562,0.1,0.034808941474635036,17.760958791997837,True,False
11,740.0,699,6261,0.1,0.038267477295095366,20.323325332999957,True,False
12,470.0,525,6786,0.1,0.03531354722453153,22.283879791997606,True,False
13,510.0,538,7324,0.1,0.03756983893906215,24.27638250000018,True,False
14,330.0,530,7854,0.1,0.03703824435290175,26.23117566699875,True,False
15,910.0,780,8634,0.1,0.032989281811751425,31.700146207997022,True,False
16,370.0,525,9159,0.1,0.036267344345772314,35.81015570799718,True,False
17,650.0,666,9825,0.1,0.03615878599913356,40.99784562499917,True,False
18,350.0,596,10421,0.1,0.03413660432237057,43.19940312499966,True,False
19,300.0,427,10848,0.1,0.03767085470537716,45.76368983299835,True,False
20,360.0,455,11303,0.1,0.03658842278100484,49.158835750000435,True,False
21,800.0,621,11924,0.1,0.03598462343096542,51.68328024999937,True,False
22,380.0,449,12373,0.1,0.03486073792321674,55.824005374997796,True,False
23,570.0,571,12944,0.1,0.03563308867811506,60.852125916997466,True,False
24,690.0,712,13656,0.1,0.035867044021992874,64.85741162499835,True,False
25,620.0,618,14274,0.1,0.03738184308923491,69.53124408299846,True,False
26,380.0,495,14769,0.1,0.03922185486167549,73.67943687499792,True,False
27,530.0,490,15259,0.1,0.04309597311800987,75.48989354199875,True,False
28,330.0,454,15713,0.1,0.04073320181321418,77.17997095799728,True,False
29,660.0,562,16275,0.1,0.04839665984202709,79.47639100000015,True,False
30,540.0,447,16722,0.1,0.04028727249741288,81.39267774999826,True,False
31,480.0,362,17084,0.1,0.04173384424667437,83.16304254199713,True,False
32,870.0,733,17817,0.1,0.04416094665909237,87.05790449999768,True,False
33,1190.0,734,18551,0.1,0.047929225799938045,89.78844279199984,True,False
34,680.0,557,19108,0.1,0.045489341941928225,91.84972204199948,True,False
35,410.0,404,19512,0.1,0.04877835951542648,93.38454829200055,True,False
36,420.0,485,19997,0.1,0.04417016600404889,95.28226799999902,True,False
37,490.0,604,20601,0.1,0.05135879713721228,97.48560304199782,True,False
38,750.0,564,21165,0.1,0.05336004773035963,99.5393124580005,True,False
39,720.0,630,21795,0.1,0.05002477311582607,101.82109879199925,True,False
40,520.0,609,22404,0.1,0.0601871194488375,104.04929383299896,True,False
41,120.0,322,22726,0.1,0.05918307100073435,105.24357287499879,True,False
42,540.0,410,23136,0.1,0.0511868875654577,106.77059670800008,True,False
43,1170.0,688,23824,0.1,0.05739128634030389,109.3351567919999,True,False
44,750.0,650,24474,0.1,0.061710132722869335,111.72264891699888,True,False
45,520.0,697,25171,0.1,0.06033285268871435,114.29051524999886,True,False
46,410.0,490,25661,0.1,0.06490964217232616,116.11894312499862,True,False
47,460.0,491,26152,0.1,0.05416752944692848,117.93807383300009,True,False
48,810.0,673,26825,0.1,0.06414020561524444,120.40966229200058,True,False
49,370.0,554,27379,0.1,0.06536382139134018,122.45496908299901,True,False
50,1040.0,953,28332,0.1,0.058295670655170245,125.99185970799954,True,False
51,680.0,647,28979,0.1,0.05814312875374966,129.05768941699716,True,False
52,420.0,426,29405,0.1,0.0671514696746229,130.66386370799955,True,False
53,760.0,652,30057,0.1,0.060463590673142414,133.0823636669993,True,False
54,440.0,543,30600,0.1,0.062084534410935116,135.06888762499875,True,False
55,590.0,572,31172,0.1,0.06721206943315643,137.18923862500014,True,False
56,1240.0,714,31886,0.1,0.07169669785463575,139.8232046669982,True,False
57,250.0,335,32221,0.1,0.07206900133973076,141.08446125000046,True,False
58,1050.0,727,32948,0.1,0.06795256333630327,143.94925904199772,True,False
59,470.0,460,33408,0.1,0.07691169754480538,145.70469537499957,True,False
60,520.0,559,33967,0.1,0.06658672643222398,147.84234491700045,True,False
61,490.0,585,34552,0.1,0.07215826963486315,150.05589116699775,True,False
62,320.0,332,34884,0.1,0.08234941824732056,151.33536204199845,True,False
63,370.0,480,35364,0.1,0.07046893963900705,153.16773549999925,True,False
64,440.0,545,35909,0.1,0.06595936069018482,155.24294649999865,True,False
65,2210.0,1025,36934,0.1,0.07969300819604541,159.1309102919986,True,False
66,1340.0,856,37790,0.1,0.07734324457559073,162.46452941700045,True,False
67,1210.0,644,38434,0.1,0.0774103263624429,164.8397340829979,True,False
68,920.0,598,39032,0.1,0.07763951999445756,167.06366691699805,True,False
69,480.0,441,39473,0.1,0.0778113197365945,168.72324449999724,True,False
70,780.0,561,40034,0.1,0.08702180549236281,170.9014382919995,True,False
71,320.0,411,40445,0.1,0.08330521859156276,172.49721645799946,True,False
72,1110.0,775,41220,0.1,0.08413130040616565,175.499308749997,True,False
73,330.0,402,41622,0.1,0.08550113823264838,177.05770429199765,True,False
74,1720.0,809,42431,0.1,0.09698392403321249,180.16984687500008,True,False
75,460.0,578,43009,0.1,0.08073373779911419,182.3948597919989,True,False
76,470.0,479,43488,0.1,0.07902025344471136,185.07239854199725,True,False
77,630.0,637,44125,0.1,0.09226100429095938,187.5148354169978,True,False
78,350.0,413,44538,0.1,0.09899550188983818,189.09983524999916,True,False
79,1220.0,499,45037,0.1,0.08725269778072833,191.01852279199738,True,False
80,770.0,628,45665,0.1,0.10776983339719143,193.4548321250004,True,False
81,370.0,378,46043,0.1,0.09959679255460172,194.91128054199726,True,False
82,340.0,435,46478,0.1,0.09076891600265416,196.5945722079996,True,False
83,320.0,372,46850,0.1,0.0840406523596856,198.0369005829998,True,False
84,600.0,657,47507,0.1,0.08430689701628757,200.60423929199897,True,False
85,390.0,488,47995,0.1,0.0782696795268137,202.53442695799822,True,False
86,1260.0,941,48936,0.1,0.09864838795846928,206.24068433299908,True,False
87,400.0,442,49378,0.1,0.08131640263071115,208.05047108299914,True,False
88,380.0,401,49779,0.1,0.09775803394615651,209.63803174999703,True,False
89,230.0,403,50182,0.1,0.08954534004672919,211.48694037499808,True,False
90,590.0,515,50697,0.1,0.0890038605461749,215.77192362499773,True,False
91,440.0,426,51123,0.1,0.08013344586844433,218.2580917919986,True,False
92,320.0,383,51506,0.1,0.1020835170832773,219.81658958299886,True,False
93,410.0,550,52056,0.1,0.09804790033756391,222.033416708,True,False
94,700.0,767,52823,0.1,0.09175235753225562,225.11802974999955,True,False
95,230.0,360,53183,0.1,0.0977778413436479,226.61609558299824,True,False
96,1290.0,757,53940,0.1,0.1006009598262608,229.66491841699826,True,False
97,870.0,661,54601,0.1,0.09824552841936098,232.30571166699883,True,False
98,560.0,720,55321,0.1,0.09574988554749224,235.1800494579984,True,False
99,880.0,681,56002,0.1,0.0937392804223825,237.8891166249996,True,False
100,560.0,523,56525,0.1,0.09569925334276135,240.0216982919992,True,False
101,830.0,579,57104,0.1,0.09664307531483214,243.67090070799895,True,False
102,410.0,483,57587,0.1,0.09316853655812642,245.6093594999984,True,False
103,1940.0,896,58483,0.1,0.10416451162226233,249.1677684999995,True,False
104,550.0,550,59033,0.1,0.10216582666380682,251.38424512499842,True,False
105,470.0,486,59519,0.1,0.1066373420094163,253.31887391700002,True,False
106,410.0,711,60230,0.1,0.12003977795581469,256.1591973750001,True,False
107,320.0,381,60611,0.1,0.09427693515623871,257.68246933299815,True,False
108,1090.0,748,61359,0.1,0.10226160054279362,260.64507500000036,True,False
109,320.0,343,61702,0.1,0.09232884911863609,262.0839797499975,True,False
110,500.0,450,62152,0.1,0.10336566302694578,263.89318266699775,True,False
111,540.0,491,62643,0.1,0.11478266141331586,265.8573465829977,True,False
112,1230.0,744,63387,0.1,0.10491388806852922,268.83862433299873,True,False
113,580.0,543,63930,0.1,0.11382809952449273,270.9985870829987,True,False
114,500.0,555,64485,0.1,0.11396624303335766,273.2113642080003,True,False
115,1080.0,1112,65597,0.1,0.10398628072236939,277.6222077079983,True,False
116,370.0,397,65994,0.1,0.11432282318069477,279.20397333299843,True,False
117,1670.0,789,66783,0.1,0.11497563236218115,282.32768841699726,True,False
118,400.0,413,67196,0.1,0.11272095292448424,283.9951620419997,True,False
119,800.0,885,68081,0.1,0.11374798176886,287.47423066699776,True,False
120,700.0,574,68655,0.1,0.11547129134927596,289.7754974999989,True,False
121,610.0,538,69193,0.1,0.13227119574116336,291.9193848750001,True,False
122,1120.0,791,69984,0.1,0.10219866446115905,295.06615379199866,True,False
123,820.0,648,70632,0.1,0.10292014295672193,297.6430342499989,True,False
124,740.0,554,71186,0.1,0.10159628314600475,299.8435782919987,True,False
125,230.0,519,71705,0.1,0.12011044038316378,301.9309355419973,True,False
126,590.0,505,72210,0.1,0.09814298766413851,304.7937842499996,True,False
127,410.0,553,72763,0.1,0.10217455759698497,306.97881154199786,True,False
128,270.0,451,73214,0.1,0.11368969600416917,308.7900152919974,True,False
129,2330.0,834,74048,0.1,0.1044717139283721,312.1261386669976,True,False
130,600.0,511,74559,0.1,0.11653772562624902,314.9726652499994,True,False
131,550.0,430,74989,0.1,0.09393104621105725,318.20110529199883,True,False
132,900.0,546,75535,0.1,0.1039757061722305,322.02391895799883,True,False
133,470.0,672,76207,0.1,0.1181171338761314,324.8885062079971,True,False
134,420.0,485,76692,0.1,0.11484329802457427,328.4668654169982,True,False
135,260.0,369,77061,0.1,0.1469198369178111,331.471574332998,True,False
136,780.0,574,77635,0.1,0.12577829495645487,335.63265154200053,True,False
137,680.0,648,78283,0.1,0.11417223282020401,339.82901508299983,True,False
138,570.0,508,78791,0.1,0.13094683812828514,343.49219708300006,True,False
139,940.0,680,79471,0.1,0.11773836353026769,346.8608025829999,True,False
140,350.0,414,79885,0.1,0.14616259169549897,348.7811916669998,True,False
141,450.0,535,80420,0.1,0.13291527950830423,351.24582929199823,True,False
142,430.0,392,80812,0.1,0.14152970119398467,353.4683285829997,True,False
143,1060.0,670,81482,0.1,0.11478082766522191,357.82078724999883,True,False
144,1250.0,881,82363,0.1,0.12600765593180602,362.8870920419977,True,False
145,730.0,724,83087,0.1,0.10649685957854953,366.0983120419987,True,False
146,440.0,553,83640,0.1,0.10794235002785492,368.3515553750003,True,False
147,780.0,569,84209,0.1,0.11833002091660885,371.0454569169997,True,False
148,570.0,591,84800,0.1,0.11849144985899329,375.60063483299746,True,False
149,770.0,571,85371,0.1,0.12810881944819236,379.9841656669996,True,False
150,270.0,383,85754,0.1,0.10278046893654391,383.29814287499903,True,False
151,250.0,410,86164,0.1,0.13052574848955117,386.5607519579971,True,False
152,1300.0,969,87133,0.1,0.13535682139687302,391.44499820800047,True,False
153,440.0,561,87694,0.1,0.11577768218038338,393.796981083,True,False
154,560.0,558,88252,0.1,0.13410676256088275,396.6173073329992,True,False
155,470.0,420,88672,0.1,0.13265293531474612,398.3551462920004,True,False
156,170.0,290,88962,0.1,0.12040885698257221,400.46018874999936,True,False
157,610.0,565,89527,0.1,0.1550860067578495,405.36657895799726,True,False
158,910.0,614,90141,0.1,0.12917325925081968,410.88545820799845,True,False
159,960.0,879,91020,0.1,0.13875868672674352,418.4457615829997,True,False
160,340.0,391,91411,0.1,0.1612706300370472,420.86913408299733,True,False
161,410.0,521,91932,0.1,0.1310147150839103,423.0092365419987,True,False
162,380.0,407,92339,0.1,0.145632037505655,424.6387472079987,True,False
163,920.0,685,93024,0.1,0.11865053997310095,427.4012028750003,True,False
164,330.0,413,93437,0.1,0.14372651235571185,429.9894197499998,True,False
165,130.0,280,93717,0.1,0.1506516599761588,431.4241122079984,True,False
166,460.0,470,94187,0.1,0.15426086900262242,435.08118599999943,True,False
167,720.0,542,94729,0.1,0.13605185042080634,437.2675054579995,True,False
168,900.0,943,95672,0.1,0.15826328925125427,441.8329168749988,True,False
169,990.0,699,96371,0.1,0.13647862311838002,444.8192553329973,True,False
170,410.0,461,96832,0.1,0.13343495535182542,448.04362887499883,True,False
171,300.0,325,97157,0.1,0.13177635493101897,449.36590633299784,True,False
172,610.0,485,97642,0.1,0.14096226033654588,451.3127157919989,True,False
173,1060.0,787,98429,0.1,0.12999543683783052,454.4832814170004,True,False
174,590.0,467,98896,0.1,0.154327220036688,456.38810037499934,True,False
175,810.0,867,99763,0.1,0.14732320776588662,461.0385424999986,True,False
176,350.0,430,100193,0.1,0.15567781377790701,463.5134177079999,True,False
177,1270.0,965,101158,0.1,0.14258119422957857,469.3633948329989,True,False
178,700.0,576,101734,0.1,0.12366798514914182,471.7880621250006,True,False
179,760.0,583,102317,0.1,0.13838166413088776,475.5598577499986,True,False
180,690.0,616,102933,0.1,0.13323652424982615,478.21726345799834,True,False
181,580.0,504,103437,0.1,0.13126407099503373,480.5673801249977,True,False
182,420.0,454,103891,0.1,0.1526734056528163,482.4983921669991,True,False
183,430.0,455,104346,0.1,0.12544838012310497,484.381690541999,True,False
184,690.0,498,104844,0.1,0.11690935306251049,486.4504559579982,True,False
185,660.0,600,105444,0.1,0.13148221265524626,489.9499180829989,True,False
186,420.0,428,105872,0.1,0.1418580845973202,492.42545337499905,True,False
187,590.0,685,106557,0.1,0.14390146023218045,495.2684836669978,True,False
188,670.0,560,107117,0.1,0.13479443950844663,498.4870900829992,True,False
189,630.0,597,107714,0.1,0.1184796449547046,501.8358607079972,True,False
190,1570.0,699,108413,0.1,0.13175550150019782,507.27168654199704,True,False
191,700.0,680,109093,0.1,0.13013068967882324,511.6225665419988,True,False
192,630.0,527,109620,0.1,0.12068462455080765,514.6283777079989,True,False
193,840.0,530,110150,0.1,0.151506898473158,517.314220082997,True,False
194,1130.0,602,110752,0.1,0.1550850234679039,521.7487402080005,True,False
195,980.0,803,111555,0.1,0.13529967882670463,526.1786622919972,True,False
196,890.0,893,112448,0.1,0.12886257656750136,530.9626019579991,True,False
197,1200.0,1004,113452,0.1,0.13582936064358728,536.7826589169999,True,False
198,570.0,704,114156,0.1,0.1390475470318713,540.6711035419976,True,False
199,830.0,671,114827,0.1,0.13263522946236733,544.6869878750003,True,False
200,470.0,518,115345,0.1,0.14349629142536566,548.2732946249998,True,False
201,530.0,589,115934,0.1,0.13449188770384204,552.7351860829986,True,False
202,680.0,566,116500,0.1,0.14274918542466533,555.0728263329984,True,False
203,660.0,654,117154,0.1,0.13871127449296003,558.7123615829987,True,False
204,410.0,465,117619,0.1,0.13446628372987796,560.6291386669982,True,False
205,780.0,802,118421,0.1,0.1334344220361603,565.2038581669985,True,False
206,2050.0,1128,119549,0.1,0.1544650720022883,571.7483554169994,True,False
207,330.0,438,119987,0.1,0.1372171040761088,574.1567447499983,True,False
208,310.0,339,120326,0.1,0.14430658482015132,575.6104542079993,True,False
209,510.0,387,120713,0.1,0.12789385727385885,578.2804534579991,True,False
210,1100.0,827,121540,0.1,0.12644932068128517,582.9073983749986,True,False
211,1390.0,924,122464,0.1,0.1446953993371297,588.6993385419992,True,False
212,350.0,507,122971,0.1,0.16544403790658901,591.1726583749987,True,False
213,2240.0,890,123861,0.1,0.1462236902104365,596.615449916997,True,False
214,600.0,536,124397,0.1,0.1412097041481244,600.048035374999,True,False
215,380.0,423,124820,0.1,0.14172785848660288,601.8674220419998,True,False
216,520.0,564,125384,0.1,0.13535298848300115,606.2305262919981,True,False
217,1440.0,663,126047,0.1,0.15298150193059082,609.6632102919975,True,False
218,1150.0,912,126959,0.1,0.13728101308898707,614.9302765829998,True,False
219,450.0,426,127385,0.1,0.12340187030696423,617.7202393749976,True,False
220,420.0,385,127770,0.1,0.1689884033597385,619.2989171669979,True,False
221,470.0,486,128256,0.1,0.16758983266219252,621.5636440829985,True,False
222,290.0,305,128561,0.1,0.1677490357113512,623.4341614169971,True,False
223,1310.0,800,129361,0.1,0.14384475599974395,627.2540420419973,True,False
224,490.0,420,129781,0.1,0.14561606148878734,630.0227331249989,True,False
225,450.0,488,130269,0.1,0.1465111563257018,632.6305422919977,True,False
226,1460.0,887,131156,0.1,0.1491460542672792,638.1605869999985,True,False
227,830.0,612,131768,0.1,0.15822278854309343,641.7733865829978,True,False
228,970.0,835,132603,0.1,0.14712494984269142,645.1974218329997,True,False
229,490.0,478,133081,0.1,0.13861055510739487,648.3583622499973,True,False
230,640.0,546,133627,0.1,0.14962484013727484,651.5131975000004,True,False
231,770.0,683,134310,0.1,0.13558550991597232,655.4176709579988,True,False
232,480.0,437,134747,0.1,0.14880182899944827,657.507945041998,True,False
233,780.0,627,135374,0.1,0.1470365749233088,660.9386462919974,True,False
234,1180.0,788,136162,0.1,0.1532465791055545,664.126028249997,True,False
235,650.0,485,136647,0.1,0.15076928314837543,666.1270733749989,True,False
236,370.0,423,137070,0.1,0.13561312513390802,667.876749916999,True,False
237,320.0,347,137417,0.1,0.15437667529987192,669.2894044579989,True,False
238,970.0,833,138250,0.1,0.15076853492512152,673.7056271250003,True,False
239,670.0,491,138741,0.1,0.1620069316065893,675.9659963329977,True,False
240,530.0,467,139208,0.1,0.1315173831824054,679.1033957079999,True,False
241,1020.0,804,140012,0.1,0.15511521154004543,683.6946467919988,True,False
242,670.0,606,140618,0.1,0.14120400546501014,686.2096624999976,True,False
243,760.0,690,141308,0.1,0.12853348881781446,690.0169394579971,True,False
244,410.0,442,141750,0.1,0.13529054966162551,692.8217780829982,True,False
245,450.0,473,142223,0.1,0.13602353477755846,695.6895901669996,True,False
246,520.0,485,142708,0.1,0.14341771801109196,699.0256801249998,True,False
247,470.0,483,143191,0.1,0.13874951663116614,702.2505677079971,True,False
